date,team,time_stadium
,,
,,
,,
1,オリックス・バファローズ,18:00試合開始札幌ドーム
2,オリックス・バファローズ,14:00試合開始札幌ドーム
3,オリックス・バファローズ,14:00試合開始札幌ドーム
,,
5,千葉ロッテマリーンズ,18:00試合開始ZOZOマリン
6,千葉ロッテマリーンズ,18:00試合開始ZOZOマリン
7,千葉ロッテマリーンズ,18:00試合開始ZOZOマリン
8,福岡ソフトバンクホークス,18:00試合開始PayPayドーム
9,福岡ソフトバンクホークス,18:00試合開始PayPayドーム
10,福岡ソフトバンクホークス,13:00試合開始PayPayドーム
,,
,,
13,東北楽天ゴールデンイーグルス,18:00試合開始静岡
14,東北楽天ゴールデンイーグルス,18:00試合開始静岡
,,
16,埼玉西武ライオンズ,14:00試合開始札幌ドーム
17,埼玉西武ライオンズ,13:00試合開始札幌ドーム
18,埼玉西武ライオンズ,13:00試合開始札幌ドーム
19,オリックス・バファローズ,18:00試合開始京セラD大阪
20,オリックス・バファローズ,18:00試合開始京セラD大阪
21,オリックス・バファローズ,18:00試合開始京セラD大阪
,,
23,千葉ロッテマリーンズ,15:00試合開始札幌ドーム
24,千葉ロッテマリーンズ,14:00試合開始札幌ドーム
,,
,,
,,
,,
29,東北楽天ゴールデンイーグルス,18:00試合開始楽天生命パーク
30,東北楽天ゴールデンイーグルス,18:00試合開始楽天生命パーク
31,東北楽天ゴールデンイーグルス,17:00試合開始楽天生命パーク
,,
,,
,,
,,
,,
,,
